Date,Open,High,Low,Close,Volume,ChangePct
2019-09-01,290.57,302.63,289.27,296.77,1330000000.0,0.0148
2019-10-01,297.74,304.55,284.82,303.33,1410000000.0,0.022099999999999998
2019-11-01,304.92,315.48,304.74,314.31,1040000000.0,0.0362
2019-12-01,314.59,323.8,307.13,321.86,1290000000.0,0.024
2020-01-01,323.54,332.95,320.36,321.73,1400000000.0,-0.0004
2020-02-01,323.35,339.08,285.54,296.26,2109999999.9999998,-0.07919999999999999
2020-03-01,298.21,313.84,218.26,257.75,5930000000.0,-0.13
2020-04-01,247.98,294.88,243.9,290.48,2820000000.0,0.127
2020-05-01,285.31,306.84,272.99,304.32,1910000000.0,0.047599999999999996
2020-06-01,303.62,323.41,296.74,308.36,2360000000.0,0.013300000000000001
2020-07-01,309.57,327.23,309.07,326.52,1510000000.0,0.058899999999999994
2020-08-01,328.32,351.3,327.73,349.31,1050000000.0,0.0698
2020-09-01,350.21,358.75,319.8,334.89,1820000000.0,-0.041299999999999996
2020-10-01,337.69,354.02,322.6,326.54,1630000000.0,-0.024900000000000002
2020-11-01,330.2,364.38,327.24,362.06,1540000000.0,0.10880000000000001
2020-12-01,365.57,378.46,362.03,373.88,1350000000.0,0.0326
2021-01-01,375.31,385.85,364.82,370.07,1400000000.0,-0.0102
2021-02-01,373.72,394.17,370.38,380.36,1310000000.0,0.0278
2021-03-01,385.59,398.12,371.88,396.33,2400000000.0,0.042
2021-04-01,398.4,420.72,398.18,417.3,1460000000.0,0.0529
2021-05-01,419.43,422.81,404.0,420.04,1550000000.0,0.0066
2021-06-01,422.57,428.78,414.7,428.06,1280000000.0,0.0191
2021-07-01,428.87,441.8,421.97,438.51,1420000000.0,0.024399999999999998
2021-08-01,440.34,453.07,436.1,451.56,1250000000.0,0.0298
2021-09-01,452.56,454.05,428.78,429.14,1750000000.0,-0.049699999999999994
2021-10-01,430.98,459.56,426.36,459.25,1510000000.0,0.0702
2021-11-01,460.3,473.54,455.3,455.56,1340000000.0,-0.008
2021-12-01,461.64,479.0,448.92,474.96,1930000000.0,0.0426
2022-01-01,476.3,479.98,420.76,449.91,2490000000.0,-0.0527
2022-02-01,450.68,458.12,410.64,436.63,2300000000.0,-0.029500000000000002
2022-03-01,435.04,462.07,415.12,451.64,2380000000.0,0.0344
2022-04-01,453.31,457.83,411.21,412.0,1860000000.0,-0.08779999999999999
2022-05-01,412.07,429.66,380.54,412.93,2420000000.0,0.0023
2022-06-01,415.17,417.44,362.17,377.25,1960000000.0,-0.0864
2022-07-01,376.56,413.03,371.04,411.99,1440000000.0,0.09210000000000002
2022-08-01,409.15,431.73,395.04,395.18,1440000000.0,-0.0408
2022-09-01,392.89,411.73,357.04,357.18,2000000000.0,-0.0962
2022-10-01,361.08,389.52,348.11,386.21,2020000000.0,0.08130000000000001
2022-11-01,390.14,407.68,368.79,407.68,1750000000.0,0.0556
2022-12-01,408.77,410.49,374.77,382.43,1740000000.0,-0.061900000000000004
2023-01-01,384.37,408.16,377.83,406.48,1580000000.0,0.0629
2023-02-01,405.21,418.31,393.64,396.26,1600000000.0,-0.025099999999999997
2023-03-01,395.41,409.7,380.65,409.39,2520000000.0,0.0331
2023-04-01,408.85,415.94,403.78,415.93,1400000000.0,0.016
2023-05-01,415.47,422.58,403.74,417.85,1780000000.0,0.0046
2023-06-01,418.09,444.3,416.79,443.28,1750000000.0,0.060899999999999996
2023-07-01,442.92,459.44,437.06,457.79,1370000000.0,0.0327
2023-08-01,456.27,457.25,433.01,450.35,1760000000.0,-0.0163
2023-09-01,453.17,453.67,422.29,427.48,1590000000.0,-0.0508
2023-10-01,426.62,438.14,409.21,418.2,2000000000.0,-0.0217
2023-11-01,419.2,458.32,418.65,456.4,1500000000.0,0.0913
2023-12-01,455.77,477.55,454.31,475.31,1640000000.0,0.0414
2024-01-01,472.16,491.62,466.43,482.88,1700000000.0,0.0159
2024-02-01,484.63,510.13,483.8,508.08,1390000000.0,0.052199999999999996
2024-03-01,508.98,524.61,504.91,523.07,1470000000.0,0.029500000000000002
2024-04-01,523.83,524.38,493.86,501.98,1590000000.0,-0.0403
2024-05-01,501.38,533.07,499.55,527.37,1150000000.0,0.0506
2024-06-01,529.02,550.28,522.6,544.22,888920000.0,0.032
2024-07-01,545.63,565.16,537.45,550.81,1040000000.0,0.0121
